size_mib	bytes	sha256	filename
1	1048576	85c3ea1f26f1a18ba9c7b1adb12ca91a157ad1330c5d1fe3d542cfee13b4e7a8	nettest-001MiB.bin
8	8388608	9bedc7cb90624f439e2baffd0ce25d69682da41aa2b521e26c879059cfc85949	nettest-008MiB.bin
32	33554432	5aa0f6b39ed47a7a648b17d92daa61bc7ec25a1c46ecabd2f2c757f820cd7a38	nettest-032MiB.bin
128	134217728	a18494ea78d4e7a610cc165ff66b4d7caf8db32aebb6b7b289e89d9207409e7c	nettest-128MiB.bin
512	536870912	924d46bc2b284f264d08ac11ed2385723c1b094df2ea8652583b807711083110	nettest-512MiB.bin
range512_offset256_len16	16777216	6b2bd172178b6e8a4d992581273e7962efe0ec8066e6204537fe27a34b7d940c	nettest-512MiB.bin bytes 268435456-285212671
